Model,AUROC_Mean,AUROC_Std,AUROC_CI_Lower,AUROC_CI_Upper
Random Forest (Optimized),0.7904792546306273,0.03521697489289064,0.7477702346622901,0.8376069308877397
Neural Network (Optimized),0.7745660989946621,0.050891522120134786,0.7126091481528263,0.8390085373013534
Logistic Regression (Optimized),0.7646128245071484,0.034788620120592355,0.7119544022356954,0.8236786754489593
Gradient Boosting (Optimized),0.7486844507916144,0.06534808214041224,0.6652321453740647,0.8465594722822817
SVM (Optimized),0.7278268770272625,0.07493841628951392,0.5757170243017632,0.7881475286351892
