fold,model,roc_auc,pr_auc,brier,accuracy,precision,recall,f1,logloss,ece
1,logreg_L2,0.9159663865546218,0.9162816548530832,0.11722890935370754,0.8709677419354839,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.39259374029254335,0.5176839318715709
1,svm_rbf,0.8907563025210085,0.8921541950113376,0.12884101032450498,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965518,0.40039600742582043,0.480422926105035
1,categorical_nb_discretized,0.9033613445378151,0.8931522971507442,0.13222012357911733,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.48739594180252316,0.5235392851073409
1,random_forest,0.9453781512605042,0.9517247458423927,0.11313926796856609,0.8064516129032258,0.75,0.8571428571428571,0.7999999999999999,0.3647884138124352,0.460076658624435
1,grad_boost,0.9075630252100839,0.8629908781694495,0.12690994787727405,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965518,0.4050799258328554,0.5168406901830576
1,tan_bayes,0.8739495798319328,0.874629292276351,0.1809394740739011,0.7419354838709677,0.6875,0.7857142857142857,0.7333333333333334,0.5332035042823781,0.4630312375288141
2,logreg_L2,1.0,0.9999999999999998,0.06159702300449807,0.967741935483871,0.9333333333333333,1.0,0.9655172413793104,0.22474686863261084,0.4826032153296771
2,svm_rbf,0.9873949579831932,0.9859693877551019,0.06694535262005728,0.9354838709677419,1.0,0.8571428571428571,0.923076923076923,0.2494220655992192,0.49153346181454804
2,categorical_nb_discretized,0.9621848739495799,0.9538610199324484,0.07773122260831737,0.8709677419354839,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.235615196671369,0.5464969629741644
2,random_forest,0.9621848739495797,0.9602323115481008,0.09758501699698276,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.3274829828881985,0.4392902801224226
2,grad_boost,0.9663865546218486,0.9637980192076829,0.0778313844465996,0.9032258064516129,1.0,0.7857142857142857,0.88,0.24456365065213725,0.4925569960531786
2,tan_bayes,0.9705882352941175,0.973469387755102,0.06546531148163,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.2138723363771148,0.49489179210388545
3,logreg_L2,0.8739495798319328,0.8334813133726178,0.13729962663888248,0.8387096774193549,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.4621167515422652,0.47909120439297875
3,svm_rbf,0.8025210084033614,0.7504047539761824,0.18748832550115316,0.7741935483870968,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.6066675411703024,0.44276410241870245
3,categorical_nb_discretized,0.8865546218487395,0.8444505890934463,0.12196237585250157,0.8709677419354839,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.4997218248453372,0.5040127181411262
3,random_forest,0.8781512605042017,0.8367975278689564,0.1398966887274357,0.7741935483870968,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.44439138614505935,0.410321156848481
3,grad_boost,0.819327731092437,0.801620468801689,0.20525482505612083,0.7741935483870968,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.7172097949344982,0.4619634814990808
3,tan_bayes,0.8865546218487395,0.8781300257804017,0.1516529260300534,0.7741935483870968,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.4831663415939565,0.4297050511647764
4,logreg_L2,0.927601809954751,0.9207369275957034,0.11901178489253099,0.8333333333333334,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.35471439506036356,0.4660479554128849
4,svm_rbf,0.8959276018099547,0.8875152625152622,0.1181430698682297,0.8666666666666667,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3752436989538271,0.48341268843051916
4,categorical_nb_discretized,0.8914027149321266,0.8670525552878492,0.19143690573766012,0.7333333333333333,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6344439692439221,0.5176024192670321
4,random_forest,0.8959276018099547,0.8683439988869852,0.1343794639474958,0.8666666666666667,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.40587149308121323,0.5029022314317582
4,grad_boost,0.8416289592760181,0.8171646980470508,0.1938158483605486,0.7666666666666667,0.75,0.6923076923076923,0.7199999999999999,0.5894469086549182,0.501105394489605
4,tan_bayes,0.8642533936651584,0.8477255200939409,0.183216681322298,0.8,0.8181818181818182,0.6923076923076923,0.7500000000000001,0.6247105956869289,0.5454808027300643
5,logreg_L2,0.9285714285714286,0.9400226966016438,0.10876394001568077,0.8333333333333334,0.8,0.8571428571428571,0.8275862068965518,0.33127718534348966,0.3860672638461368
5,svm_rbf,0.9508928571428572,0.9504861053733233,0.09398265213633665,0.8666666666666667,0.8125,0.9285714285714286,0.8666666666666666,0.30456099409267795,0.4323871154480199
5,categorical_nb_discretized,0.9732142857142857,0.973530437816152,0.08003467567593275,0.8666666666666667,0.8125,0.9285714285714286,0.8666666666666666,0.23815669688284177,0.4704360920637781
5,random_forest,0.9330357142857143,0.9415266106442575,0.11921581264520438,0.8333333333333334,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.36823091148960846,0.444954371832753
5,grad_boost,0.9151785714285714,0.9113678804855274,0.1554531006010618,0.7333333333333333,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.455518008925103,0.49967888029275853
5,tan_bayes,0.9107142857142857,0.9112235803412272,0.12828878272402527,0.8,0.7222222222222222,0.9285714285714286,0.8125000000000001,0.367132543176286,0.4328667641774723
6,logreg_L2,0.8482142857142858,0.848680882609454,0.15232645910703127,0.7333333333333333,0.75,0.6428571428571429,0.6923076923076924,0.5003114159256562,0.48458853434914734
6,svm_rbf,0.8526785714285715,0.8587192763663352,0.15738831664645894,0.8,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.509795690328216,0.4405533958265437
6,categorical_nb_discretized,0.8839285714285714,0.890219476945483,0.14231704060405387,0.8666666666666667,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.6051014936855011,0.5212459148687529
6,random_forest,0.8705357142857143,0.8801021277525036,0.15121962979429648,0.7666666666666667,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.4724352243315038,0.48324708289804336
6,grad_boost,0.8482142857142858,0.8574557911742784,0.15359719638529837,0.8,0.9,0.6428571428571429,0.75,0.5779901722700563,0.517991225032154
6,tan_bayes,0.8482142857142857,0.7855471442656317,0.18349730303449974,0.7666666666666667,0.7692307692307693,0.7142857142857143,0.7407407407407408,0.6315286590221196,0.4747001858552344
7,logreg_L2,0.9553571428571428,0.9534100819815103,0.09196365308989393,0.8,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.2852464840172772,0.47101242315715314
7,svm_rbf,0.9241071428571428,0.9353408029878616,0.11328920922117244,0.8666666666666667,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.3578205923581549,0.4432745374946464
7,categorical_nb_discretized,0.9910714285714286,0.9910714285714284,0.04769604424898718,0.9333333333333333,1.0,0.8571428571428571,0.923076923076923,0.14878749050457268,0.5047244779894781
7,random_forest,0.9598214285714286,0.9635531135531135,0.10089970480225437,0.9,1.0,0.7857142857142857,0.88,0.33447022562072415,0.4696354727969223
