model,roc_auc_mean,roc_auc_std,roc_auc_ci95_lo,roc_auc_ci95_hi,pr_auc_mean,pr_auc_std,pr_auc_ci95_lo,pr_auc_ci95_hi,brier_mean,brier_std,brier_ci95_lo,brier_ci95_hi,accuracy_mean,accuracy_std,accuracy_ci95_lo,accuracy_ci95_hi,precision_mean,precision_std,precision_ci95_lo,precision_ci95_hi,recall_mean,recall_std,recall_ci95_lo,recall_ci95_hi,f1_mean,f1_std,f1_ci95_lo,f1_ci95_hi,logloss_mean,logloss_std,logloss_ci95_lo,logloss_ci95_hi,ece_mean,ece_std,ece_ci95_lo,ece_ci95_hi
random_forest,0.918164188752424,0.037573880788915145,0.8912854536466349,0.9450429238582131,0.9143684026157791,0.04728103036636585,0.8805455910226461,0.9481912142089122,0.12311720885111763,0.022068680865857147,0.10733022558846333,0.13890419211377192,0.8283870967741936,0.06183850099692914,0.7841504980322853,0.872623695516102,0.8343130970336853,0.11008740849696177,0.7555613091069618,0.9130648849604087,0.8060439560439561,0.10622868509626199,0.730052532550084,0.8820353795378282,0.8113825072575374,0.06782401174324382,0.7628641320675995,0.8599008824474752,0.38892162275523895,0.05579441758006041,0.34900870082574115,0.42883454468473675,0.45115731618972904,0.03912148779784687,0.4231714897224,0.4791431426570581
logreg_L2,0.915055349062702,0.04550404932062072,0.8825037131323895,0.9476069849930145,0.9148295078528681,0.05252204951557319,0.8772574970171199,0.9524015186886163,0.11533307024430395,0.03429413059519916,0.09080052708938884,0.13986561339921905,0.8410752688172044,0.07699638874122364,0.7859953703977612,0.8961551672366476,0.8408241758241759,0.07628905376176766,0.7862502743671084,0.8953980772812434,0.8060439560439561,0.11143751785351892,0.7263263580652283,0.8857615540226839,0.8214348869521283,0.08871075794881154,0.7579750336211589,0.8848947402830977,0.36914689330246087,0.09476685060227964,0.30135477226874446,0.43693901433617727,0.4713213721630648,0.039110150537034025,0.4433436558835528,0.4992990884425768
categorical_nb_discretized,0.9143503555268261,0.048151001052615,0.8799052043953084,0.9487955066583438,0.9106145618102257,0.050138964954348005,0.8747473069728189,0.9464818166476325,0.1263540715124569,0.052931384011796076,0.08848924041799101,0.1642189026069228,0.8415053763440861,0.062458629567877455,0.7968251643463714,0.8861855883418007,0.841121794871795,0.09182903954850948,0.7754312572637768,0.9068123324798131,0.8120879120879121,0.07279154205889507,0.7600159797811444,0.8641598443946797,0.8244945475979957,0.07040776219936895,0.7741278686760107,0.8748612265199807,0.45280241240804975,0.19309023125191674,0.31467398201001195,0.5909308428060875,0.5130153513662066,0.02190012299591672,0.4973489471398668,0.5286817555925464
svm_rbf,0.9036421299288948,0.05196077936624272,0.8664716275705752,0.9408126322872145,0.901872432905604,0.06600365733113159,0.8546562608156519,0.9490886049955561,0.1240972870440622,0.03484493587485101,0.099170721528513,0.1490238525596114,0.8448387096774195,0.05136852239903094,0.8080918824306933,0.8815855369241457,0.8450250484809307,0.09905010682054688,0.7741688705315126,0.9158812264303489,0.8274725274725274,0.05975301039898268,0.7847277988321593,0.8702172561128956,0.8318776092279986,0.05018710294460898,0.7959759185468199,0.8677792999091772,0.39843902394582764,0.10268429343180593,0.3249831055065249,0.47189494238513036,0.45990397914009284,0.03657985045296569,0.4337363304998515,0.4860716277803342
tan_bayes,0.8970345830639948,0.04806793749701957,0.8626488520206053,0.9314203141073842,0.8947069388155959,0.05821890590299458,0.8530596424208858,0.936354235210306,0.14367640760632994,0.04879586512322539,0.1087699485085004,0.17858286670415946,0.7986021505376344,0.07045367923878881,0.7482026245443995,0.8490016765308693,0.7873747086247086,0.1006185010343023,0.7153965690432245,0.8593528482061927,0.7906593406593407,0.08800552116748565,0.7277039833302246,0.8536146979884569,0.7837366145986836,0.06708708278874481,0.7357454066255431,0.8317278225718241,0.4531154824021491,0.15395613472560524,0.3429818982124228,0.5632490665918755,0.4733318249633066,0.04599359599076103,0.4404299884417232,0.50623366148489
grad_boost,0.8905441984486101,0.055067681877542934,0.8511511519227105,0.9299372449745097,0.883385713230936,0.06609347292385066,0.83610529093647,0.9306661355254019,0.14439620116971433,0.047460848183481424,0.1104447556592943,0.17834764668013436,0.8082795698924731,0.08158992597814989,0.7499136528878444,0.8666454868971017,0.8264107461166285,0.13531725238414696,0.7296106151291017,0.9232108771041552,0.7620879120879119,0.10272913201358012,0.688599918059484,0.8355759061163399,0.7859142392646287,0.08927968100951092,0.7220474028932323,0.849781075636025,0.4713169927904226,0.15999294145050963,0.356864937220135,0.5857690483607102,0.49204975797749906,0.04202980918425867,0.4619834437216708,0.5221160722333273
