Model,AUROC_Mean,AUROC_Std,AUROC_CI_Lower,AUROC_CI_Upper
Random Forest (Optimized),0.9077549288946347,0.05011688609808078,0.8339285714285715,0.9779346113445377
Logistic Regression (Optimized),0.8946731577246283,0.054461901878495,0.8199776785714286,0.9846901260504202
Neural Network (Optimized),0.8873464770523594,0.05334859735766767,0.8135044642857143,0.9663996848739496
Gradient Boosting (Optimized),0.8828741111829347,0.0516352047995617,0.8105764180672268,0.9501181722689075
SVM (Optimized),0.7427076599870718,0.13477569995747105,0.5462644432773109,0.9131433823529411
