model,roc_auc_macro_mean,roc_auc_macro_std,roc_auc_macro_ci95_lo,roc_auc_macro_ci95_hi,roc_auc_weighted_mean,roc_auc_weighted_std,roc_auc_weighted_ci95_lo,roc_auc_weighted_ci95_hi,pr_auc_macro_mean,pr_auc_macro_std,pr_auc_macro_ci95_lo,pr_auc_macro_ci95_hi,accuracy_mean,accuracy_std,accuracy_ci95_lo,accuracy_ci95_hi,precision_macro_mean,precision_macro_std,precision_macro_ci95_lo,precision_macro_ci95_hi,recall_macro_mean,recall_macro_std,recall_macro_ci95_lo,recall_macro_ci95_hi,f1_macro_mean,f1_macro_std,f1_macro_ci95_lo,f1_macro_ci95_hi,logloss_mean,logloss_std,logloss_ci95_lo,logloss_ci95_hi,brier_macro_mean,brier_macro_std,brier_macro_ci95_lo,brier_macro_ci95_hi,ece_mean,ece_std,ece_ci95_lo,ece_ci95_hi
svm_rbf,0.8027292851831763,0.03503216151340134,0.7776687865141187,0.8277897838522339,0.8349374600714793,0.050052420735331525,0.7991321152388162,0.8707428049041424,0.4822040991232046,0.06880248300257179,0.4329857677606304,0.5314224304857788,0.5972043010752689,0.06466569679973921,0.5509452482913403,0.6434633538591975,0.3394399825320878,0.12114811777510959,0.2527758398385076,0.426104125225668,0.3270147058823529,0.0750042769011364,0.273359878425146,0.3806695333395598,0.32001629968735235,0.08329194256171502,0.26043283336562456,0.37959976600908013,0.9653007956183949,0.07363414332281834,0.9126261026785153,1.0179754885582744,0.4906895723517935,0.04648664671679182,0.457435028588359,0.523944116115228,0.18795227713653592,0.015734630732691823,0.17669640037929124,0.1992081538937806
random_forest,0.7925609782663434,0.027541798337560066,0.7728587626232167,0.8122631939094701,0.8354224066174011,0.04314052245717334,0.8045615359512601,0.866283277283542,0.4521943830375707,0.051166306233610584,0.4155922125212732,0.4887965535538682,0.5611827956989247,0.06678112885487107,0.5134104539852841,0.6089551374125654,0.32109365325077405,0.07472771638668685,0.2676366652674924,0.3745506412340557,0.3341519607843137,0.0873879491931753,0.2716383878319433,0.3966655337366841,0.31783575396288866,0.07127549435493023,0.26684833685090575,0.36882317107487156,1.008650167401573,0.06650518139710056,0.9610752266075286,1.0562251081956175,0.5149646707531159,0.04129510909775466,0.48542392927797223,0.5445054122282597,0.18401018818080145,0.03980331770179638,0.15553660998299715,0.21248376637860575
logreg_L2,0.7791339907614485,0.03184739548497706,0.7563517364646675,0.8019162450582296,0.8280975839991042,0.03254986272948795,0.8048128149077567,0.8513823530904516,0.4688908664876953,0.05009929929070997,0.4330519867567011,0.5047297462186895,0.5710752688172043,0.05703420151626893,0.5302754588870506,0.6118750787473579,0.3412072337707012,0.10830914118275972,0.2637275416478219,0.41868692589358053,0.318921568627451,0.06806290908023574,0.27023229657768233,0.3676108406772197,0.31234901594294384,0.07442526561805123,0.25910838820571636,0.36558964368017133,1.034351285884491,0.07258328735652735,0.9824283300172592,1.0862742417517228,0.5208129516521705,0.043018100804574126,0.4900396561606545,0.5515862471436864,0.19596501448500195,0.03100879644073139,0.1737826578058472,0.2181473711641567
categorical_nb_discretized,0.7766004203084123,0.04005444956616899,0.7479471931971242,0.8052536474197003,0.8284007943525186,0.04186858047948882,0.7984498161640852,0.858351772540952,0.43857501050073894,0.0564851744355144,0.398167950884358,0.47898207011711985,0.5711827956989246,0.05592959987646469,0.5311731701801314,0.6111924212177178,0.31006635177687814,0.08368151040173934,0.2502042054104519,0.36992849814330436,0.3277450980392157,0.07037495010627427,0.2774018914746247,0.3780883046038067,0.3060611911083513,0.06442647475585972,0.259973267465568,0.3521491147511346,1.1657157918681222,0.20034036042769812,1.022400931495141,1.3090306522411035,0.5585432861353942,0.06584350390160591,0.5114416809072653,0.6056448913635231,0.2302755880563967,0.04557418517566451,0.19767377995782376,0.26287739615496963
grad_boost,0.744586297959797,0.06378973290360952,0.6989538719983299,0.7902187239212641,0.7804625091959909,0.059264907562265684,0.7380669482906833,0.8228580701012985,0.4208586991717113,0.03878999346434556,0.3931100094651366,0.44860738887828605,0.5446236559139784,0.06828168653056567,0.49577787990424954,0.5934694319237073,0.3232237903135736,0.12189350543158733,0.23602642941232027,0.410421151214827,0.29198529411764707,0.057759241113433474,0.2506668221045727,0.33330376613072143,0.2918897459609534,0.06700766916233676,0.2439553470738906,0.3398241448480162,1.414729133441743,0.23848773517345304,1.2441252851004252,1.5853329817830606,0.6458396234656357,0.10089813750858743,0.5736614440011154,0.718017802930156,0.25917316125022866,0.06757623767690439,0.21083203294976272,0.3075142895506946
tan_bayes,0.7327941675672136,0.054399803680486455,0.6938788923219135,0.7717094428125137,0.7888933288754942,0.05990898289309072,0.7460370242343273,0.8317496335166612,0.46247218359681475,0.09699321773027494,0.3930874154629011,0.5318569517307283,0.5680645161290322,0.06297043249828817,0.5230181823705615,0.6131108498875029,0.3618872549019608,0.13337872207636148,0.2664738649575068,0.45730064484641475,0.33748529411764705,0.09318939903123263,0.2708216139590849,0.4041489742762092,0.33491270308685167,0.09717568195868344,0.2653974079070567,0.40442799826664666,1.2956736978584815,0.1895896711274102,1.1600494173202116,1.4312979783967514,0.6124679683060568,0.07887400387637496,0.556044904932962,0.6688910316791515,0.25446996638648967,0.04807612549231482,0.22007837800411975,0.28886155476885955
