model,auroc_mean,auroc_ci95_lo,auroc_ci95_hi
svm_rbf,0.8027292851831763,0.7776687865141187,0.8277897838522339
random_forest,0.7925609782663434,0.7728587626232167,0.8122631939094701
logreg_L2,0.7791339907614485,0.7563517364646675,0.8019162450582296
categorical_nb_discretized,0.7766004203084123,0.7479471931971242,0.8052536474197003
grad_boost,0.744586297959797,0.6989538719983299,0.7902187239212641
tan_bayes,0.7327941675672136,0.6938788923219135,0.7717094428125137
