fold,model,roc_auc_macro,roc_auc_weighted,pr_auc_macro,accuracy,precision_macro,recall_macro,f1_macro,logloss,brier_macro,ece
1,logreg_L2,0.8493686854051965,0.8828333068488796,0.5370833512892337,0.5483870967741935,0.4313725490196078,0.33137254901960783,0.34248366013071896,0.9328245101541706,0.4737223079521003,0.18503160242094088
1,svm_rbf,0.826119192504588,0.8396408708088353,0.5608482601513292,0.6129032258064516,0.4738095238095238,0.37647058823529406,0.39036729036729034,0.9705156505803224,0.4911357846832971,0.21587580820573904
1,categorical_nb_discretized,0.8414834347532116,0.858587319243604,0.5651597989214089,0.6129032258064516,0.48888888888888893,0.4313725490196078,0.4155555555555555,1.0128185976406663,0.4945109011387902,0.2561112046127252
1,random_forest,0.836917415241959,0.8676990306689973,0.5461184677787538,0.6129032258064516,0.3833333333333333,0.37647058823529406,0.3754954954954955,0.9855285472140592,0.49709078423464453,0.19116991976888997
1,grad_boost,0.8094337873080267,0.7985920864452567,0.45206164557208195,0.5483870967741935,0.3055555555555555,0.29803921568627445,0.29714285714285715,1.5089654488579276,0.657435521706609,0.2321965215242029
1,tan_bayes,0.7892261180334202,0.8012855553789927,0.57325695337909,0.6129032258064516,0.5333333333333333,0.4431372549019608,0.4637494637494637,1.1770050937080927,0.550976434179592,0.271157491322643
2,logreg_L2,0.7525470878006374,0.836739234069601,0.525788153909317,0.6129032258064516,0.43267973856209146,0.3549019607843137,0.31204481792717087,1.0243697344318135,0.48650223564733464,0.19918313744325486
2,svm_rbf,0.8612282430213465,0.9244207849992055,0.5455111446287917,0.6774193548387096,0.3589473684210526,0.4,0.3759018759018759,0.8552244456411385,0.41228862669222194,0.1855167652608718
2,categorical_nb_discretized,0.7553101516468657,0.8186127443190848,0.4114395163099565,0.5161290322580645,0.22083333333333335,0.24313725490196075,0.22626262626262625,1.3058967928547651,0.6168902335716268,0.25786269650240395
2,random_forest,0.7949852216748768,0.8620228825679326,0.5032178932178932,0.5483870967741935,0.3275,0.27647058823529413,0.29818181818181816,0.9808207278704043,0.496919066717307,0.23100450636573733
2,grad_boost,0.8409349946875302,0.8827268393453045,0.4581256893750065,0.6129032258064516,0.2545454545454545,0.3333333333333333,0.28547008547008546,1.1805272487921552,0.5504043591881087,0.19875621030860774
2,tan_bayes,0.7038187964841109,0.8119466073414905,0.33654050984865047,0.45161290322580644,0.18666666666666668,0.16470588235294117,0.175,1.3565324019686262,0.6814568798022858,0.32974290705189185
3,logreg_L2,0.7858058533758332,0.7980994756078181,0.39589515289205696,0.5161290322580645,0.20789473684210527,0.24313725490196075,0.22380952380952382,1.102630890548664,0.5511181492977569,0.16205532661303684
3,svm_rbf,0.7692375156959336,0.7680724614651199,0.4087239976144745,0.5483870967741935,0.25666666666666665,0.29803921568627445,0.2751608751608751,1.0781765965838306,0.5590505241910467,0.17782603441624353
3,categorical_nb_discretized,0.7381669081425674,0.7525043699348481,0.36795684562575837,0.5161290322580645,0.19789473684210526,0.24313725490196075,0.21666666666666665,1.4533005331684008,0.6739930094163884,0.26399762544557615
3,random_forest,0.7614053897421037,0.7576910853329095,0.4061264307320629,0.4838709677419355,0.3196078431372549,0.3196078431372549,0.31960784313725493,1.1064802764706967,0.5765675613341579,0.13708454079708718
3,grad_boost,0.7076607746546895,0.6894740187509933,0.42790201200920713,0.45161290322580644,0.34444444444444444,0.2529411764705882,0.2819047619047619,1.7187878973370687,0.8274579962021942,0.37257239989204455
3,tan_bayes,0.6721812035158891,0.6648275862068966,0.4481182795913502,0.5161290322580645,0.20952380952380953,0.24313725490196075,0.2245614035087719,1.5939134475056695,0.7287601363832699,0.24456634007906067
4,logreg_L2,0.7673802657913542,0.7846137472574255,0.39590564998079664,0.5,0.15789473684210525,0.1764705882352941,0.16666666666666666,1.0930117671216348,0.5667171278472214,0.21190999047936784
4,svm_rbf,0.7659644327325192,0.7906064773880865,0.37435780154440335,0.5666666666666667,0.2378947368421053,0.24313725490196075,0.23939393939393935,1.0320862863914337,0.5219856336643385,0.16271206854108008
4,categorical_nb_discretized,0.7547528889736462,0.7917383010773815,0.3886253816005465,0.5666666666666667,0.25,0.3098039215686274,0.27644787644787644,1.4771412577600165,0.5863698214764101,0.17298210830993174
4,random_forest,0.7966969433416357,0.8086481154009889,0.42851776846759543,0.6333333333333333,0.4166666666666667,0.40980392156862744,0.3928571428571429,1.018304054237731,0.5212670533621916,0.13483135814372585
4,grad_boost,0.7490023915057723,0.7603714346530439,0.4090945113481597,0.5333333333333333,0.24555555555555558,0.2647058823529412,0.2535064935064935,1.32824388436168,0.6362955998114668,0.25633003063419063
4,tan_bayes,0.7221163236883317,0.7582940367423127,0.343674145338806,0.5333333333333333,0.25470588235294117,0.29803921568627445,0.27184873949579835,1.4842686988873666,0.6834013198820229,0.2841179269729331
5,logreg_L2,0.8114379394551807,0.8196896972759042,0.49668194210473626,0.5666666666666667,0.3371428571428571,0.3833333333333333,0.3523076923076923,1.0641164125888254,0.5540387818697577,0.15280672408137788
5,svm_rbf,0.8231816262707067,0.8096581313535336,0.49825548996726726,0.6333333333333333,0.32999999999999996,0.3875,0.3536796536796537,0.9894844947462372,0.5163325371639204,0.19641571279917994
5,categorical_nb_discretized,0.7487021306705215,0.7858717644637185,0.4193519833431725,0.6,0.3758333333333333,0.4125,0.38125901875901874,1.1922299199293194,0.5701363650669237,0.2626121506710932
5,random_forest,0.7755481055768412,0.7916294167730948,0.3822593988550772,0.43333333333333335,0.18333333333333332,0.21666666666666665,0.19444444444444445,1.095431139491521,0.5761535025244522,0.23228217510474988
5,grad_boost,0.7344694550872711,0.7299861643252448,0.37213641767940125,0.5333333333333333,0.26627450980392153,0.2958333333333333,0.27474747474747474,1.5116421260000006,0.7125467375990585,0.2871314260344303
5,tan_bayes,0.7027635386112399,0.7867343597228655,0.4460116143925161,0.5333333333333333,0.2569444444444445,0.2958333333333333,0.2729761904761905,1.2194017042193812,0.6598570249709549,0.3329235451742987
6,logreg_L2,0.7587043198181129,0.8610215990905645,0.47836414754835815,0.6,0.36523809523809525,0.355,0.35589768654284787,0.9886750178193755,0.4847797684124161,0.15766442306867856
6,svm_rbf,0.8406470632815459,0.8932353164077302,0.49541974365503777,0.5666666666666667,0.305,0.305,0.30500000000000005,0.8629942784167106,0.43152456591859084,0.16976828457276982
6,categorical_nb_discretized,0.7791774914740432,0.8642207907035492,0.42651673693953107,0.5333333333333333,0.30833333333333335,0.265,0.27214285714285713,0.9551113633165129,0.5128536088346543,0.29225515464290136
6,random_forest,0.8015585070102311,0.8802925350511559,0.4358526440879382,0.5333333333333333,0.2647058823529412,0.265,0.2596969696969697,0.9205153480921576,0.46556243929733815,0.2191626867407884
6,grad_boost,0.8286629405077681,0.8641480358721737,0.4557552998472117,0.6,0.33333333333333337,0.3175,0.32250233426704017,0.937783744807781,0.4963116502850034,0.1587823044551545
6,tan_bayes,0.7796809397499054,0.8650713654161931,0.4298335867563809,0.6333333333333333,0.3883333333333333,0.40499999999999997,0.3921428571428572,1.0373213014043356,0.5190557049570653,0.20831104025434607
7,logreg_L2,0.7858237400530504,0.8587020335985854,0.4199818879950459,0.6333333333333333,0.36666666666666664,0.3675,0.3564705882352941,0.928103393052684,0.47213654678321887,0.2270639227726836
7,svm_rbf,0.8151206896551724,0.8631034482758622,0.5116032268170426,0.7,0.519047619047619,0.43,0.45233805233805235,0.9168473036854079,0.4612746929006465,0.1831029592727858
7,categorical_nb_discretized,0.8403644372868511,0.8872388531009221,0.4929670868347339,0.6666666666666666,0.3350877192982456,0.39,0.3323076923076923,0.8916162954798053,0.44430426941976564,0.1470870604373901
